,d WT-INF1 ,e WT-INF2 ,f WT-INF3 ,a WT-Ctrl1 ,b WT-Ctrl2 ,c WT-Ctrl3 ,g LacZ-Ctrl1 ,h LacZ-Ctrl2 ,i LacZ-Ctrl3 ,j LacZ-INF1 ,k LacZ-INF2 ,l LacZ-INF3 
Mx1,8.67039782,8.579791356,8.577623166,5.485066064,5.58962943,5.661522762,5.656928386,5.615895274,5.808831377,8.674828665,8.652821934,8.676129106
Oas1c,4.893879617,5.348670011,5.317027771,4.204003042,4.152950823,4.290365105,4.212848449,4.326811411,4.362834998,5.359457,5.236924955,5.010642543
Irf9,9.096527195,9.139771639,9.016213939,8.007367553,8.059256325,8.115946217,8.570155318,8.352590189,8.60361946,9.117633211,9.029044039,9.061741648
Ifi35,8.371736134,8.806215501,8.577265234,6.742479163,6.800571226,6.859096383,7.021352316,7.199578983,7.21406691,8.61940254,8.899197172,8.866964526
Rsad2,9.064913272,9.015206155,9.041101254,6.357699637,6.386812928,6.536178336,6.915347832,6.893275006,7.106922023,9.335891779,9.235957033,9.240199135
Fos,3.287345575,3.340452411,3.422674525,3.443063752,3.460424292,3.171633053,3.822204219,3.839527959,3.7880141,3.743119852,3.595742222,3.869435446
Scara5,0.760486737,0.764792407,0.705951709,0.679305537,0.828264206,0.780735732,0.623492846,0.63043206,0.68326114,0.666687842,0.693771926,0.688011709
Ifnar1,8.084417654,8.05994047,8.143313482,8.08302827,8.094987102,8.073940663,8.273696931,8.256782669,8.187287976,8.216437076,8.060127484,8.323026957
Ifnar2,6.715812612,6.741657407,6.602074238,6.56706152,6.704734334,6.594085946,6.672011213,6.654367409,6.687430178,6.771116957,6.70268446,6.729551858
Mx2,8.844474395,8.77100308,8.891667974,6.238070936,6.107037747,6.195716011,6.775793861,6.782192884,6.73465581,8.769075714,8.783699935,8.662526709
Eif2ak2,10.21591637,10.00441138,10.21495759,8.747698334,8.617031995,8.812343139,9.251846145,9.017549057,9.296006857,10.29645963,10.19709225,10.04664619
